leave_type,duration_days,department_id,position_id,previous_requests,previous_approved,previous_rejected,approval_rate,on_time_rate,late_count,same_department_leave_count,target
SICK,3,5,17,1,0,1,0.0,0.7885,11,4,REJECTED
SICK,9,6,23,0,0,0,0.5,0.6176,13,4,REJECTED
ANNUAL,5,6,22,1,1,0,1.0,0.9818,1,4,APPROVED
SICK,2,6,23,7,2,5,0.2857,0.7,6,1,APPROVED
ANNUAL,4,4,16,2,2,0,1.0,0.6154,10,5,APPROVED
ANNUAL,9,5,20,5,2,3,0.4,0.6744,14,0,REJECTED
SICK,7,6,21,2,0,2,0.0,0.9348,3,0,REJECTED
ANNUAL,7,2,5,4,3,1,0.75,0.7059,15,4,APPROVED
ANNUAL,7,1,3,2,2,0,1.0,0.75,12,0,APPROVED
SICK,1,2,6,7,4,3,0.5714,1.0,0,2,APPROVED
SICK,4,1,4,2,1,1,0.5,0.7544,14,2,APPROVED
SICK,4,4,13,7,3,4,0.4286,0.5833,15,4,REJECTED
SICK,2,4,15,4,4,0,1.0,0.8857,4,4,APPROVED
SICK,1,1,1,3,0,3,0.0,0.9744,1,2,APPROVED
ANNUAL,2,4,14,0,0,0,0.5,0.56,11,3,APPROVED
ANNUAL,6,1,4,2,1,1,0.5,0.9649,2,2,APPROVED
SICK,4,1,3,3,1,2,0.3333,0.5185,13,4,REJECTED
SICK,8,1,2,2,2,0,1.0,1.0,0,1,APPROVED
ANNUAL,7,2,5,6,6,0,1.0,0.5625,14,2,APPROVED
ANNUAL,10,1,2,1,0,1,0.0,0.7381,11,4,REJECTED
SICK,8,2,5,1,1,0,1.0,0.6296,10,2,REJECTED
ANNUAL,4,2,8,2,2,0,1.0,0.8793,7,0,APPROVED
SICK,1,2,6,7,4,3,0.5714,0.5,13,3,REJECTED
SICK,6,6,23,3,3,0,1.0,0.7885,11,4,REJECTED
SICK,5,1,2,1,1,0,1.0,0.5556,8,5,APPROVED
ANNUAL,2,1,3,3,2,1,0.6667,0.625,9,3,APPROVED
ANNUAL,8,6,23,1,1,0,1.0,0.0,13,5,REJECTED
SICK,8,4,13,3,0,3,0.0,0.7736,12,4,REJECTED
SICK,4,3,12,5,3,2,0.6,0.6957,14,1,REJECTED
SICK,8,1,3,5,5,0,1.0,0.5238,10,5,APPROVED
SICK,3,5,17,2,1,1,0.5,0.9667,2,1,APPROVED
ANNUAL,7,6,21,7,6,1,0.8571,1.0,0,4,APPROVED
ANNUAL,9,6,24,3,0,3,0.0,1.0,0,5,REJECTED
ANNUAL,3,3,9,1,1,0,1.0,0.7857,9,1,APPROVED
ANNUAL,8,2,5,8,8,0,1.0,0.5806,13,5,REJECTED
ANNUAL,4,1,4,2,1,1,0.5,0.7273,3,1,APPROVED
SICK,2,6,24,5,5,0,1.0,0.9804,1,3,APPROVED
SICK,10,4,13,0,0,0,0.5,0.9423,3,5,APPROVED
ANNUAL,8,5,18,6,0,6,0.0,0.8222,8,3,REJECTED
SICK,5,1,2,6,5,1,0.8333,0.5,8,4,APPROVED
SICK,9,6,21,1,1,0,1.0,0.8235,3,3,APPROVED
SICK,6,5,17,6,2,4,0.3333,0.95,1,4,REJECTED
ANNUAL,6,2,7,3,0,3,0.0,0.0,10,0,REJECTED
ANNUAL,3,1,2,1,0,1,0.0,0.9464,3,2,APPROVED
ANNUAL,8,2,5,0,0,0,0.5,0.6875,5,0,APPROVED
ANNUAL,7,1,2,1,0,1,0.0,0.9828,1,0,APPROVED
ANNUAL,6,1,3,7,4,3,0.5714,0.9643,2,2,APPROVED
ANNUAL,8,3,11,4,3,1,0.75,0.7222,15,3,APPROVED
SICK,3,2,7,1,1,0,1.0,0.6809,15,4,APPROVED
ANNUAL,10,3,11,0,0,0,0.5,0.9245,4,3,APPROVED
ANNUAL,1,6,21,1,1,0,1.0,0.8039,10,0,APPROVED
SICK,6,6,23,8,8,0,1.0,0.9444,3,3,APPROVED
ANNUAL,3,1,2,8,0,8,0.0,0.0,10,1,REJECTED
SICK,2,1,4,7,5,2,0.7143,0.6,10,2,REJECTED
ANNUAL,7,5,20,3,0,3,0.0,0.641,14,4,REJECTED
ANNUAL,6,1,4,1,1,0,1.0,1.0,0,0,APPROVED
SICK,2,5,20,4,4,0,1.0,0.8667,6,5,REJECTED
SICK,4,3,9,7,5,2,0.7143,0.6667,15,5,REJECTED
SICK,4,5,18,0,0,0,0.5,0.6452,11,5,REJECTED
SICK,1,3,9,2,1,1,0.5,0.2778,13,0,REJECTED
SICK,7,1,1,3,3,0,1.0,0.9,6,5,APPROVED
SICK,10,6,21,1,1,0,1.0,0.8974,4,3,REJECTED
ANNUAL,10,5,19,7,2,5,0.2857,0.9074,5,5,APPROVED
ANNUAL,9,1,2,6,3,3,0.5,0.8542,7,2,REJECTED
ANNUAL,3,2,5,2,1,1,0.5,0.8125,9,5,APPROVED
SICK,4,2,7,3,2,1,0.6667,0.7925,11,5,REJECTED
SICK,9,2,8,8,5,3,0.625,0.9455,3,2,APPROVED
ANNUAL,9,6,23,4,3,1,0.75,0.2,8,0,APPROVED
SICK,4,5,19,4,1,3,0.25,0.7143,8,1,REJECTED
SICK,9,2,5,0,0,0,0.5,0.5625,14,0,REJECTED
SICK,9,3,10,6,1,5,0.1667,0.7857,9,5,REJECTED
ANNUAL,6,3,11,8,0,8,0.0,0.6,4,1,REJECTED
SICK,6,4,14,8,3,5,0.375,0.8983,6,2,APPROVED
SICK,3,1,2,2,2,0,1.0,0.9286,3,3,APPROVED
ANNUAL,3,5,20,2,2,0,1.0,1.0,0,2,APPROVED
SICK,3,3,12,5,4,1,0.8,0.0769,12,5,REJECTED
ANNUAL,10,2,5,8,5,3,0.625,0.1429,12,5,REJECTED
SICK,9,1,3,2,1,1,0.5,0.7273,12,0,APPROVED
ANNUAL,6,1,1,5,2,3,0.4,0.3478,15,4,REJECTED
ANNUAL,4,3,9,3,0,3,0.0,0.8113,10,3,REJECTED
ANNUAL,1,5,20,8,5,3,0.625,0.6667,14,3,APPROVED
SICK,6,2,8,8,1,7,0.125,0.6875,5,4,APPROVED
SICK,4,4,16,6,6,0,1.0,0.625,6,4,APPROVED
SICK,1,4,16,7,5,2,0.7143,0.9167,1,0,APPROVED
SICK,10,5,17,3,2,1,0.6667,0.6667,12,3,REJECTED
ANNUAL,2,6,24,8,0,8,0.0,0.9608,2,5,APPROVED
ANNUAL,9,4,16,1,1,0,1.0,0.85,9,4,APPROVED
ANNUAL,7,4,14,0,0,0,0.5,0.875,5,4,APPROVED
ANNUAL,3,3,11,4,2,2,0.5,0.2,8,4,APPROVED
ANNUAL,9,6,24,8,1,7,0.125,0.7931,6,5,REJECTED
SICK,3,2,8,2,0,2,0.0,0.8367,8,1,APPROVED
SICK,9,6,23,7,1,6,0.1429,0.9286,2,2,REJECTED
ANNUAL,6,6,23,5,1,4,0.2,0.8654,7,0,REJECTED
ANNUAL,8,1,1,7,5,2,0.7143,0.8163,9,5,APPROVED
ANNUAL,6,6,23,6,1,5,0.1667,0.5,5,1,REJECTED
ANNUAL,5,2,8,5,1,4,0.2,0.8113,10,3,REJECTED
ANNUAL,9,2,5,1,0,1,0.0,0.9608,2,2,REJECTED
ANNUAL,2,1,1,1,0,1,0.0,1.0,0,4,APPROVED
SICK,1,6,23,8,4,4,0.5,0.6591,15,5,REJECTED
ANNUAL,3,6,22,7,1,6,0.1429,0.6857,11,4,REJECTED
SICK,9,4,13,2,1,1,0.5,0.75,5,4,REJECTED
ANNUAL,6,3,12,0,0,0,0.5,0.375,15,1,REJECTED
SICK,4,6,22,8,5,3,0.625,0.5588,15,3,APPROVED
ANNUAL,2,2,8,8,4,4,0.5,0.8596,8,4,APPROVED
ANNUAL,6,3,11,1,1,0,1.0,0.7941,7,4,APPROVED
ANNUAL,8,3,9,0,0,0,0.5,0.9048,4,3,APPROVED
ANNUAL,4,4,15,2,0,2,0.0,0.45,11,4,REJECTED
ANNUAL,2,6,21,7,7,0,1.0,0.85,6,4,APPROVED
SICK,4,6,21,0,0,0,0.5,0.7222,5,1,APPROVED
SICK,1,6,23,2,1,1,0.5,0.4286,12,4,REJECTED
ANNUAL,2,3,10,3,3,0,1.0,0.6875,15,3,APPROVED
SICK,10,6,21,2,2,0,1.0,0.8462,8,1,REJECTED
SICK,4,4,13,6,3,3,0.5,0.8333,3,0,APPROVED
ANNUAL,3,4,15,1,0,1,0.0,0.975,1,4,REJECTED
ANNUAL,3,4,16,8,0,8,0.0,0.7797,13,4,REJECTED
ANNUAL,4,5,19,7,6,1,0.8571,0.9062,3,3,APPROVED
SICK,5,6,22,8,6,2,0.75,0.7692,6,0,APPROVED
SICK,7,5,18,3,2,1,0.6667,0.6944,11,0,APPROVED
ANNUAL,5,6,23,8,6,2,0.75,0.7609,11,4,REJECTED
SICK,7,3,11,8,8,0,1.0,0.875,5,2,APPROVED
ANNUAL,10,5,17,5,5,0,1.0,0.8857,4,5,REJECTED
